#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
favor_of_the_commoners;Favor of the Commoners;Favor of the Commoners;Favor of the Commoners;;Favor of the Commoners;;;;;;;;;x
favor_of_the_commoners_desc;The commoners now favor you, and your accomplishments are spread through the realm. It might be useful.;The commoners now favor you, and your accomplishments are spread through the realm. It might be useful.;The commoners now favor you, and your accomplishments are spread through the realm. It might be useful.;;The commoners now favor you, and your accomplishments are spread through the realm. It might be useful.;;;;;;;;;x
EVTDESCtroublesevents.1;As you arrive to [Root.Location.GetName], a group of peasents, mainly farmers, apphroach you. 'You hail from the capital don´t you?'. It seems these poor folks have been having issues with their neightbouring village, and need you to mediate between na issue as their liege is currently away. The defending party claims all lands near the riverbank belong to this village, while the accusing party claims its around the forest borders.;"As you arrive to [Root.Location.GetName], a group of peasents, mainly farmers, apphroach you. ""You hail from the capital don´t you?"". It seems these poor folks have been having issues with their neightbouring village, and need you to mediate between na issue as their liege is currently away. The defending party claims all lands near the riverbank belong to this village, while the accusing party claims its around the forest borders.";"As you arrive to [Root.Location.GetName], a group of peasents, mainly farmers, apphroach you. ""You hail from the capital don´t you?"". It seems these poor folks have been having issues with their neightbouring village, and need you to mediate between na issue as their liege is currently away. The defending party claims all lands near the riverbank belong to this village, while the accusing party claims its around the forest borders.";;"As you arrive to [Root.Location.GetName], a group of peasents, mainly farmers, apphroach you. ""You hail from the capital don´t you?"". It seems these poor folks have been having issues with their neightbouring village, and need you to mediate between na issue as their liege is currently away. The defending party claims all lands near the riverbank belong to this village, while the accusing party claims its around the forest borders.";;;;;;;;;x
EVTOPTAtroublesevents.1;Lets settle this with some money and the riverbank it is.;Lets settle this with some money and the riverbank it is.;"As you arrive to [Root.Location.GetName], a group of peasents, mainly farmers, apphroach you. ""You hail from the capital don´t you?"". It seems these poor folks have been having issues with their neightbouring village, and need you to mediate between na issue as their liege is currently away. The defending party claims all lands near the riverbank belong to this village, while the accusing party claims its around the forest borders.";;Lets settle this with some money and the riverbank it is.;;;;;;;;;x
EVTOPTBtroublesevents.1;The forest seems like a unreliable border dont you think?;The forest seems like a unreliable border dont you think?;The forest seems like a unreliable border dont you think?;;The forest seems like a unreliable border dont you think?;;;;;;;;;x
EVTOPTCtroublesevents.1;Ok lets talk it out.;Ok lets talk it out.;Ok lets talk it out.;;Ok lets talk it out.;;;;;;;;;x
EVTOPTDDONTCARE;I am above this….;I am above this….;I am above this….;;I am above this….;;;;;;;;;x
EVTDESCtroublesevents.2;They say it was a monk, others say it was a hero of old…. What matters is this figure that started to take charge of the village matters is respected by all. But this poses a problem, as he advocates for the villages independence and is stirring some revolt sentiments. This could become quite a issue as [Root.Location.GetName] provides great supply of grain to your liege. Maybe we could challenge this man to a battle of wits.;They say it was a monk, others say it was a hero of old…. What matters is this figure that started to take charge of the village matters is respected by all. But this poses a problem, as he advocates for the villages independence and is stirring some revolt sentiments. This could become quite a issue as [Root.Location.GetName] provides great supply of grain to your liege. Maybe we could challenge this man to a battle of wits.;They say it was a monk, others say it was a hero of old…. What matters is this figure that started to take charge of the village matters is respected by all. But this poses a problem, as he advocates for the villages independence and is stirring some revolt sentiments. This could become quite a issue as [Root.Location.GetName] provides great supply of grain to your liege. Maybe we could challenge this man to a battle of wits.;;They say it was a monk, others say it was a hero of old…. What matters is this figure that started to take charge of the village matters is respected by all. But this poses a problem, as he advocates for the villages independence and is stirring some revolt sentiments. This could become quite a issue as [Root.Location.GetName] provides great supply of grain to your liege. Maybe we could challenge this man to a battle of wits.;;;;;;;;;x
EVTOPTAtroublesevents.2;I already am favored by the populace!;I already am favored by the populace!;I already am favored by the populace!;;I already am favored by the populace!;;;;;;;;;x
EVTOPTBtroublesevents.2;My wits in debating will win them over.;My wits in debating will win them over.;My wits in debating will win them over.;;My wits in debating will win them over.;;;;;;;;;x
